USER_ID,ITEM_ID,TIMESTAMP,ROUND
1,14,1672588800,1
1,23,1672588800,1
1,26,1672588800,1
1,27,1672588800,1
1,2,1672610400,1
1,24,1672610400,1
1,21,1672592400,2
1,26,1672592400,2
1,13,1672592400,2
1,25,1672592400,2
1,23,1672592400,2
1,8,1672614000,2
1,24,1672614000,2
1,1,1672596000,3
1,21,1672596000,3
1,27,1672596000,3
1,5,1672599600,4
1,21,1672599600,4
1,21,1672599600,4
1,13,1672599600,4
1,27,1672603200,5
1,36,1672603200,5
1,89,1672603200,5
1,9,1672606800,6
1,27,1672606800,6
1,31,1672606800,6
1,36,1672606800,6
1,49,1672606800,6
1,96,1672606800,6
2,1,1672761600,1
2,24,1672761600,1
2,25,1672761600,1
2,26,1672761600,1
2,27,1672761600,1
2,8,1672704000,3
2,9,1672704000,3
2,13,1672704000,3
2,14,1672704000,3
2,2,1672704000,3
2,13,1672704000,3
2,23,1672704000,3
2,1,1672707600,4
2,24,1672707600,4
2,31,1672707600,4
2,5,1672711200,5
2,8,1672711200,5
2,21,1672711200,5
2,27,1672711200,5
2,1,1672714800,6
2,27,1672714800,6
2,32,1672714800,6
2,21,1672718400,7
2,29,1672718400,7
2,119,1672718400,7
2,82,1672722000,8
2,120,1672722000,8
2,18,1672725600,9
2,21,1672725600,9
2,96,1672725600,9
2,31,1672725600,9
2,3,1672729200,10
2,89,1672729200,10
2,8,1672732800,11
2,11,1672732800,11
2,26,1672732800,11
2,13,1672732800,11
2,9,1672732800,11
2,31,1672732800,11
2,124,1672736400,12
2,18,1672740000,13
2,21,1672740000,13
2,40,1672740000,13
2,11,1672740000,13
2,29,1672740000,13
2,59,1672740000,13
2,26,1672740000,13
2,13,1672740000,13
2,9,1672740000,13
2,31,1672740000,13
2,32,1672743600,14
2,54,1672743600,14
2,59,1672747200,14
2,89,1672747200,14
2,120,1672747200,14
2,27,1672750800,15
2,32,1672750800,15
2,96,1672750800,15
2,96,1672750800,15
2,9,1672750800,15
2,8,1672754400,17
2,59,1672754400,17
2,1,1672754400,17
2,89,1672754400,17
2,119,1672754400,17
2,3,1672754400,17
2,18,1672758000,18
2,40,1672758000,18
2,119,1672758000,18
3,1,1672851600,1
3,2,1672851600,1
3,26,1672851600,1
3,13,1672851600,1
3,24,1672851600,1
3,25,1672851600,1
3,27,1672851600,1
4,1,1672941600,2
4,2,1672941600,2
4,5,1672941600,2
4,21,1672941600,2
4,26,1672941600,2
4,13,1672941600,2
4,24,1672941600,2
4,25,1672941600,2
4,27,1672941600,2
4,27,1672941600,2
4,1,1672945200,3
4,24,1672945200,3
4,9,1672948800,4
4,27,1672952400,5
4,31,1672952400,5
4,53,1672952400,5
4,32,1672956000,6
4,54,1672956000,6
4,11,1672959600,7
4,21,1672959600,7
4,82,1672959600,7
4,25,1672963200,8
4,120,1672963200,8
4,18,1672966800,9
4,29,1672966800,9
4,119,1672966800,9
4,3,1672970400,10
4,31,1672970400,10
4,1,1672974000,11
4,32,1672974000,11
4,51,1672977600,12
4,13,1672977600,12
4,31,1672977600,12
4,59,1672981200,13
4,9,1672981200,13
4,119,1672981200,13
4,59,1672984800,14
4,3,1672984800,14
4,27,1672988400,15
4,55,1672988400,15
4,21,1672992000,16
4,21,1672992000,16
4,119,1672992000,16
4,27,1672995600,17
4,40,1672995600,17
4,51,1672995600,17
6,5,1673236800,1
6,5,1673236800,1
6,9,1673236800,1
6,21,1673236800,1
6,26,1673236800,1
6,13,1673236800,1
6,24,1673236800,1
6,26,1673236800,1
6,27,1673236800,1
6,31,1673236800,1
6,1,1673240400,2
6,21,1673240400,2
6,21,1673240400,2
6,27,1673247600,4
6,9,1673247600,4
6,18,1673251200,6
6,13,1673251200,6
6,9,1673254800,7
6,9,1673254800,7
6,31,1673254800,7
6,13,1673258400,8
6,21,1673258400,8
6,21,1673258400,8
6,37,1673258400,8
6,45,1673258400,8
6,46,1673258400,8
6,27,1673262000,9
6,27,1673262000,9
6,32,1673262000,9
6,55,1673265600,10
6,3,1673269200,11
6,9,1673269200,11
6,31,1673269200,11
6,9,1673269200,11
6,31,1673269200,11
6,29,1673272800,12
6,38,1673272800,12
6,12,1673272800,12
6,1,1673276400,13
6,5,1673276400,13
6,21,1673276400,13
6,27,1673276400,13
6,32,1673276400,13
6,9,1673276400,13
6,31,1673276400,13
6,46,1673276400,13
6,53,1673276400,13
6,35,1673280000,14
6,3,1673280000,14
6,40,1673283600,15
6,31,1673283600,15
6,34,1673287200,15
6,59,1673290800,17
6,32,1673294400,18
6,42,1673294400,18
6,12,1673294400,18
6,38,1673294400,18
6,40,1673294400,18
6,3,1673294400,18
6,26,1673294400,18
6,24,1673294400,18
6,24,1673294400,18
6,51,1673294400,18
6,51,1673294400,18
8,2,1673474400,1
8,5,1673474400,1
8,24,1673474400,1
8,25,1673474400,1
8,26,1673474400,1
8,27,1673474400,1
9,2,1673564400,2
9,13,1673564400,2
9,23,1673564400,2
9,24,1673564400,2
9,24,1673564400,2
9,25,1673564400,2
9,1,1673568000,3
9,5,1673568000,3
9,27,1673568000,3
9,21,1673571600,4
9,25,1673571600,4
9,27,1673575200,5
9,31,1673575200,5
9,32,1673575200,5
9,6,1673578800,6
9,13,1673578800,6
9,57,1673578800,6
9,26,1673582400,7
9,24,1673582400,7
9,24,1673582400,7
9,15,1673586000,8
9,31,1673586000,8
9,51,1673586000,8
9,34,1673586000,8
9,27,1673586000,8
9,56,1673589600,9
9,32,1673593200,9
9,18,1673596800,10
9,56,1673596800,10
9,59,1673596800,10
9,66,1673600400,11
10,5,1673694000,1
10,21,1673694000,1
10,26,1673694000,1
10,13,1673694000,1
10,23,1673694000,1
10,24,1673694000,1
10,25,1673694000,1
10,25,1673694000,1
10,26,1673694000,1
10,36,1673694000,1
11,13,1673784000,2
11,26,1673784000,2
11,13,1673784000,2
11,24,1673784000,2
11,24,1673784000,2
11,26,1673784000,2
11,27,1673784000,2
11,25,1673784000,2
11,23,1673784000,2
11,36,1673784000,2
11,1,1673787600,3
11,21,1673787600,3
11,21,1673791200,4
11,34,1673791200,4
11,1,1673794800,5
11,57,1673794800,5
11,5,1673798400,6
11,13,1673798400,6
11,18,1673798400,6
11,27,1673798400,6
11,15,1673802000,7
11,31,1673802000,7
11,59,1673802000,7
11,37,1673805600,8
11,40,1673805600,8
11,34,1673805600,8
11,27,1673805600,8
11,16,1673809200,9
11,26,1673809200,9
11,26,1673809200,9
12,1,1673899200,1
12,5,1673899200,1
12,16,1673899200,1
12,23,1673899200,1
12,26,1673899200,1
12,27,1673899200,1
12,9,1673902800,2
12,13,1673902800,2
12,13,1673902800,2
